ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
A05,small_airport,Dixie US Forest Service Airport,5148,NA,US,US-ID,Dixie,,,A05,"-115.517997, 45.520699"
A13,small_airport,Bold Airport,900,NA,US,US-AK,Anchorage,A13,,A13,"-148.99899291992188, 61.34130096435547"
A26,small_airport,Adin Airport,4229,NA,US,US-CA,Adin,A26,,A26,"-120.9520034790039, 41.18600082397461"
A28,small_airport,Fort Bidwell Airport,4602,NA,US,US-CA,Fort Bidwell,A28,,A28,"-120.14700317382812, 41.87630081176758"
A51,small_airport,Costin Airport,13,NA,US,US-FL,Port St Joe,A51,,A51,"-85.289100646973, 29.758499145508"
A57,small_airport,Alsek River Airport,30,NA,US,US-AK,Yakutat,A57,,A57,"-138.447293043, 59.1991802403"
A61,small_airport,Tuntutuliak Airport,16,NA,US,US-AK,Tuntutuliak,A61,WTL,A61,"-162.667007446, 60.3353004456"
A63,small_airport,Twin Hills Airport,82,NA,US,US-AK,Twin Hills,A63,TWA,A63,"-160.27299499512, 59.07559967041"
A67,small_airport,Harlequin Lake Airport,100,NA,US,US-AK,Yakutat,A67,,A67,"-139.02499389648438, 59.414398193359375"
A68,small_airport,Situk Airport,50,NA,US,US-AK,Yakutat,A68,,A68,"-139.50900268554688, 59.55160140991211"
A69,small_airport,Tanis Mesa Airport,130,NA,US,US-AK,Yakutat,A69,,A69,"-138.50399780273438, 59.24800109863281"
A70,small_airport,Dangerous River Airport,50,NA,US,US-AK,Yakutat,A70,,A70,"-139.19400024414062, 59.41279983520508"
A77,small_airport,Yankee Creek 2 Airport,1120,NA,US,US-AK,Yankee Creek,A77,,A77,"-156.367004395, 63.0018997192"
A79,small_airport,Chignik Lake Airport,50,NA,US,US-AK,Chignik Lake,A79,KCQ,A79,"-158.774993896, 56.2550010681"
AA00,small_airport,Shump Airport,1670,NA,US,US-AK,Talkeetna,AA00,,AA00,"-149.926717, 62.51015"
AA05,small_airport,Shelby Strip,40,NA,US,US-AK,Anchorage,AA25,,AA25,"-149.078925, 61.507867"
AA06,small_airport,Sixmile Lake Airport,85,NA,US,US-AK,Anchorage,AA06,,AA06,"-149.806111, 61.289722"
AA09,small_airport,Busch Creek Airport,3984,NA,US,US-AK,Talkeetna,AA09,,AA09,"-147.774722, 62.477502"
AA16,small_airport,Treasure Chest Airport,125,NA,US,US-AK,Kenai,AA16,,AA16,"-151.2945, 60.624808"
AA22,small_airport,Delta Daves Airport,1070,NA,US,US-AK,Delta Junction,AA22,,AA22,"-145.804494, 64.132858"
AA30,small_airport,Trio Estates Airport,315,NA,US,US-AK,Houston,AA30,,AA30,"-149.870831, 61.648189"
AA33,small_airport,Gus Landing,120,NA,US,US-AK,Houston,AA33,,AA33,"-149.770119, 61.60415"
AA76,small_airport,Timber Trails Airport,480,NA,US,US-AK,North Pole,AA76,,AA76,"-147.329444, 64.769444"
AAD,small_airport,Adado Airport,1001,AF,SO,SO-GA,Adado,,AAD,,"46.6375, 6.095802"
AAXX,small_airport,Rothera Point Airport,,AN,AQ,AQ-U-A,Rothera Point,AAXX,,,"-68.1269931793, -67.5669411575"
ABP,small_airport,Atkamba Airport,150,OC,PG,PG-WPD,Atkamba Mission,,ABP,AKA,"141.095277778, -6.0655555555600005"
ADC,small_airport,Andakombe Airport,3600,OC,PG,PG-EHG,Andekombe,AYAN,ADC,ADK,"145.744722222, -7.13722222222"
ADV,small_airport,El Daein Airport,1560,AF,SD,SD-DE,El Daein,,ADV,,"26.1186, 11.4023"
AEE,small_airport,Adareil Airport,1301,AF,SS,SS-23,,,AEE,,"32.9594444444, 10.0536111111"
AEK,small_airport,Aseki Airport,4106,OC,PG,PG-MPL,Aseki,AYAX,AEK,ASE,"146.19386673, -7.35080485552"
AEQ,small_airport,Ar Horqin Airport,1335,AS,CN,CN-15,Chifeng,,AEQ,,"120.15958, 43.87042"
AF04,small_airport,Helmand Airport,,AS,AF,AF-NIM,,,,,"61.89690017700195, 30.33009910583496"
AF06,small_airport,Khvej Ghar North Airport,1645,AS,AF,AF-TAK,,,,,"69.49500274658203, 37.07109832763672"
AF07,small_airport,Khvej Ghar South Airport,1645,AS,AF,AF-TAK,,,,,"69.48829650878906, 37.06119918823242"
AF08,small_airport,Kotubkhel Airport,6273,AS,AF,AF-LOW,,,,,"69.13569641113281, 34.192901611328125"
AF09,small_airport,Nayak Airport,8650,AS,AF,AF-BAM,,,,,"66.89320373535156, 34.68709945678711"
AF10,small_airport,OrÅ«zgÄn Airport,6725,AS,AF,AF-ORU,OrÅ«zgÄn,OARG,URZ,,"66.630897522, 32.9029998779"
AF11,small_airport,Salerno Airport,3780,AS,AF,AF-KHO,Khost,OASL,OLR,,"69.9561, 33.3638"
AF12,small_airport,Sarhawdza Landing Zone Airport,7060,AS,AF,AF-PKA,,,,,"68.8197021484375, 33.15610122680664"
AF13,small_airport,Sheber Too Landing Zone Airport,10490,AS,AF,AF-BAM,,,,,"67.48670196533203, 34.778900146484375"
AF14,small_airport,Tapa Airport,2622,AS,AF,AF-FRA,,,,,"62.59870147705078, 32.74509811401367"
AGAF,small_airport,Afutara Aerodrome,23,OC,SB,SB-ML,Bila,AGAF,AFT,,"160.948611111, -9.19138888889"
AGAR,small_airport,Ulawa Airport,40,OC,SB,SB-MK,Arona,AGAR,RNA,,"161.979546547, -9.86054358262"
AGAT,small_airport,Uru Harbour Airport,,OC,SB,SB-ML,Atoifi,AGAT,ATD,,"161.011002, -8.87333"
AGBA,small_airport,Barakoma Airport,,OC,SB,SB-WE,Barakoma,AGBA,VEV,,"156.70599365234375, -7.912779808044434"
AGEV,small_airport,Geva Airport,,OC,SB,SB-WE,Liangia,AGEV,GEF,,"156.5970001220703, -7.575829982757568"
AGG,small_airport,Angoram Airport,75,OC,PG,PG-ESW,Angoram,,AGG,ANG,"144.073888889, -4.05583333333"
AGGA,small_airport,Gwaunaru'u Airport,5,OC,SB,SB-ML,Auki,AGGA,AKS,,"160.682007, -8.70257"
AGGB,small_airport,Bellona/Anua Airport,60,OC,SB,SB-RB,Anua,AGGB,BNY,,"159.798333333, -11.302222222200001"
AGGC,small_airport,Choiseul Bay Airport,,OC,SB,SB-CH,,AGGC,CHY,,"156.396111, -6.711944"
AGGE,small_airport,Ballalae Airport,5,OC,SB,SB-WE,Ballalae,AGGE,BAS,,"155.886656, -6.990745"
AGGF,small_airport,Fera/Maringe Airport,,OC,SB,SB-IS,Fera Island,AGGF,FRE,,"159.576996, -8.1075"
AGGH,medium_airport,Honiara International Airport,28,OC,SB,SB-CT,Honiara,AGGH,HIR,,"160.05499267578, -9.4280004501343"
AGGI,small_airport,Babanakira Airport,,OC,SB,SB-GU,Mbambanakira,AGGI,MBU,,"159.83900451660156, -9.7475004196167"
AGGJ,small_airport,Avu Avu Airport,25,OC,SB,SB-GU,,AGGJ,AVU,,"160.410555556, -9.86833333333"
AGGK,small_airport,Ngorangora Airport,54,OC,SB,SB-MK,Kirakira,AGGK,IRA,,"161.897994995, -10.449700355500001"
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,18,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,AGGL,SCZ,,"165.7949981689453, -10.72029972076416"
AGGM,medium_airport,Munda Airport,10,OC,SB,SB-WE,,AGGM,MUA,,"157.26300048828125, -8.327969551086426"
AGGN,small_airport,Nusatupe Airport,13,OC,SB,SB-WE,Gizo,AGGN,GZO,,"156.863998413, -8.09778022766"
AGGO,small_airport,Mono Airport,,OC,SB,SB-WE,Stirling Island,AGGO,MNY,,"155.56500244140625, -7.416940212249756"
AGGP,small_airport,Parasi Airport,,OC,SB,SB-ML,Parasi,AGGP,PRS,,"161.4250030517578, -9.641670227050781"
AGGR,small_airport,Rennell/Tingoa Airport,,OC,SB,SB-RB,Rennell Island,AGGR,RNL,,"160.06300354003906, -11.533900260925293"
AGGS,small_airport,Sege Airport,,OC,SB,SB-WE,Sege,AGGS,EGM,,"157.87600708007812, -8.578889846801758"
AGGT,small_airport,Santa Ana Airport,3,OC,SB,SB-MK,Santa Ana Island,AGGT,NNB,,"162.454108, -10.847994"
AGGU,small_airport,Marau Airport,,OC,SB,SB-GU,Marau,AGGU,RUS,,"160.824996948, -9.861669540409999"
AGGV,small_airport,Suavanao Airport,,OC,SB,SB-IS,Suavanao,AGGV,VAO,,"158.7310028076172, -7.585559844970703"
AGGY,small_airport,Yandina Airport,60,OC,SB,SB-CE,Yandina,AGGY,XYA,,"159.21841, -9.092816"
AGI,small_airport,El ParaÃ­so Airport,303,SA,CO,CO-CES,Aguachica,,,AGI,"-73.584722, 8.128611"
AGK,small_airport,Kagua Airport,5350,OC,PG,PG-SHM,Kagua,,AGK,,"143.853611111, -6.396388888890001"
AGKG,small_airport,Kaghau Airport,30,OC,SB,SB-CH,Kagau Island,AGKG,KGE,,"157.585, -7.3305"
AGKU,small_airport,Kukudu Airport,32,OC,SB,SB-WE,Kolombangara Island,AGKU,KUE,,"156.94783, -8.0262"
AGKW,small_airport,Kwailabesi Airport,52,OC,SB,SB-ML,Kwailabesi,AGKW,KWS,,"160.775127, -8.360508"
AGL,small_airport,Wanigela Airport,53,OC,PG,PG-NPP,,AYWG,AGL,WGL,"149.155555556, -9.3375"
AGNA,small_airport,Nana Airport,60,OC,SB,SB-MK,Star Harbor,AGNA,NAZ,,"162.2049, -10.6758"
AGRC,small_airport,Ringi Cove Airport,,OC,SB,SB-WE,Ringi Cove,AGRC,RIN,,"157.14300537109375, -8.12639045715332"
AGRM,small_airport,Ramata Airport,,OC,SB,SB-WE,Ramata,AGRM,RBV,,"157.64300537109375, -8.168060302734375"
AGY,small_airport,Argyle Downs Airport,407,OC,AU,AU-WA,Argyle Downs,,AGY,,"128.9245, -16.514"
AHJ,medium_airport,Hongyuan Airport,11600,AS,CN,CN-51,Aba,ZUHY,AHJ,,"102.35224, 32.53154"
AHY,small_airport,Ambatolhy Airport,340,AF,MG,MG-U,Ambatolahy,,AHY,,"45.535, -20.015833333299998"
AIE,small_airport,Aiome Airport,350,OC,PG,PG-MPM,Aiome,AYAO,AIE,AIO,"144.7307003, -5.145699978"
AIH,small_airport,Aiambak Airport,90,OC,PG,PG-WPD,Aiambak,AYAK,AIH,AMB,"141.2675, -7.342777777779999"
AIP,small_airport,Ailinglaplap Airok Airport,16,OC,MH,MH-ALL,Bigatyelang Island,,AIC,,"168.8257, 7.279422"
AK0,small_airport,Jakes Bar Airport,1052,NA,US,US-AK,Mccarthy,AK0,,AK0,"-142.88999938964844, 61.21870040893555"
AK00,small_airport,Anchor River Airpark,120,NA,US,US-AK,Anchor Point,AK00,,AK00,"-151.86300659179688, 59.79669952392578"
AK01,small_airport,Alaska Airpark,320,NA,US,US-AK,Sterling,AK01,,AK01,"-150.625133, 60.528983"
AK02,small_airport,Bear Creek 1 Airport,575,NA,US,US-AK,Bear Creek,AK02,,AK02,"-161.06199645996094, 65.53990173339844"
AK04,small_airport,Skelton Airport,3289,NA,US,US-AK,Eureka,3AK1,,3AK1,"-147.169006, 61.937"
AK05,small_airport,Breeden Airport,365,NA,US,US-AK,Sterling,AK05,,AK05,"-150.599217, 60.54105"
AK06,small_airport,Denali Airport,2050,NA,US,US-AK,Mckinley Park,AK06,,AK06,"-148.79800415039062, 63.64509963989258"
AK07,small_airport,Dog Fish Bay Airport,10,NA,US,US-AK,Nanwalek,AK07,,AK07,"-151.8769989013672, 59.24100112915039"
AK08,small_airport,Thomas Strip,190,NA,US,US-AK,Willow,AK08,,AK08,"-150.1060028076172, 61.78990173339844"
AK09,small_airport,Wingsong Estates Airport,1100,NA,US,US-AK,Delta Junction,AK09,,AK09,"-145.5019989013672, 64.04959869384766"
AK1,small_airport,Butte Municipal Airport,64,NA,US,US-AK,Palmer,AK1,,AK1,"-149.01800537109375, 61.53030014038086"
AK11,small_airport,Point Mcintyre Airport,15,NA,US,US-AK,Point Mcintyre,AK11,,AK11,"-148.6820068359375, 70.40170288085938"
AK12,small_airport,Flying Crown Airport,47,NA,US,US-AK,Anchorage,AK12,,AK12,"-149.86399841308594, 61.10660171508789"
AK13,small_airport,Chena Hot Springs Airport,1195,NA,US,US-AK,Chena Hot Springs,AK13,CEX,AK13,"-146.04699707, 65.0518035889"
AK16,small_airport,Sunset Strip,303,NA,US,US-AK,Wasilla,AK16,,AK16,"-149.7149963, 61.52339935"
AK17,small_airport,Glacierview Strip,1600,NA,US,US-AK,Homer,AK17,,AK17,"-151.22300720214844, 59.76359939575195"
AK18,small_airport,Camp Point Airport,8,NA,US,US-AK,Homer,AK18,,AK18,"-153.08099365234375, 59.82849884033203"
AK19,small_airport,Carl's Landing Airport,300,NA,US,US-AK,Talkeetna,AK19,,AK19,"-150.06399536132812, 62.17390060424805"
AK21,small_airport,Nushagak Airport,40,NA,US,US-AK,Dillingham,AK21,,AK21,"-157.77699279785156, 59.132598876953125"
AK22,small_airport,Lakloey Air Park,475,NA,US,US-AK,Fairbanks,AK22,,AK22,"-147.52200317382812, 64.82170104980469"
AK24,small_airport,Hilltop Airport,420,NA,US,US-AK,Chugiak,AK24,,AK24,"-149.4389954, 61.41820145"
AK25,small_airport,Piper Landing Airport,350,NA,US,US-AK,Wasilla,AK25,,AK25,"-149.61500549316406, 61.61750030517578"
AK26,small_airport,Solomon State Field,25,NA,US,US-AK,Solomon,AK26,SOL,AK26,"-164.4457, 64.5605"
AK27,small_airport,Valley Flying Crown Airport,400,NA,US,US-AK,Wasilla,AK27,,AK27,"-149.62399291992188, 61.642601013183594"
AK28,small_airport,Chena Marina Airport,427,NA,US,US-AK,Fairbanks,AK28,,AK28,"-147.91900634765625, 64.81400299072266"
AK29,small_airport,Reids Landing Airport,246,NA,US,US-AK,Houston,AK29,,AK29,"-149.8520050048828, 61.61259841918945"
AK30,small_airport,Strawberry Point Airport,50,NA,US,US-AK,Cordova,AK30,,AK30,"-146.097464, 60.391153"
AK31,small_airport,Swift Creek Airport,1225,NA,US,US-AK,Mccarthy,AK31,,AK31,"-143.00100708007812, 61.41120147705078"
AK33,small_airport,Herendeen Bay Airport,20,NA,US,US-AK,Herendeen Bay,AK33,HED,AK33,"-160.899002075, 55.801399231"
AK36,small_airport,Point Mac Airport,300,NA,US,US-AK,Point Mackenzie,AK36,,AK36,"-150.1219940185547, 61.43600082397461"
AK39,small_airport,South Gasline Airport,381,NA,US,US-AK,Sterling,AK39,,AK39,"-150.17999267578125, 60.697200775146484"
AK40,small_airport,Nixon Fork Mine Airport,1510,NA,US,US-AK,McGrath,AK40,,AK40,"-154.759994507, 63.229198455799995"
AK41,small_airport,Greg'n Sage Airport,925,NA,US,US-AK,North Pole,AK41,,AK41,"-146.843994140625, 64.54389953613281"
AK44,small_airport,Talkeetna Village Strip,346,NA,US,US-AK,Talkeetna,AK44,,AK44,"-150.11599731445312, 62.31890106201172"
AK46,small_airport,Abi Airport,750,NA,US,US-AK,Palmer,AK46,,AK46,"-149.04299926757812, 61.62879943847656"
AK47,small_airport,Shawn Field,300,NA,US,US-AK,Wasilla,AK47,,AK47,"-149.56300354003906, 61.58570098876953"
AK49,small_airport,Taylor Airport,440,NA,US,US-AK,Taylor,AK49,TWE,AK49,"-164.798995972, 65.6792984009"
AK50,small_airport,Sky Ranch At Pioneer Peak Airport,120,NA,US,US-AK,Palmer,AK50,,AK50,"-149.1439971923828, 61.55459976196289"
AK51,small_airport,Wilder/Natwick LLC Airport,288,NA,US,US-AK,Port Alsworth,PAKX,,05K,"-154.322789, 60.198567"
AK52,small_airport,Moen's Ranch Airport,582,NA,US,US-AK,Fairbanks,AK52,,AK52,"-147.53599548339844, 64.88890075683594"
AK53,small_airport,Maud Road Strip Airport,222,NA,US,US-AK,Palmer,74AK,,74AK,"-148.996994, 61.582298"
AK54,small_airport,Stro's Airport,340,NA,US,US-AK,Wasilla,AK54,,AK54,"-149.3260040283203, 61.657100677490234"
AK58,small_airport,Fairview West Airport,73,NA,US,US-AK,Wasilla,AK58,,AK58,"-149.5489959716797, 61.540000915527344"
AK59,small_airport,King Ranch Airport,1350,NA,US,US-AK,Sutton,AK59,,AK59,"-148.35499572753906, 61.79560089111328"
AK60,small_airport,Fort Jensen Airport,240,NA,US,US-AK,Jensens,AK60,,AK60,"-157.0970001220703, 57.885101318359375"
AK61,small_airport,Stephan Lake Lodge Airport,1900,NA,US,US-AK,Talkeetna,AK61,,AK61,"-148.90699768066406, 62.69960021972656"
AK63,small_airport,Pat-Mar Strip,246,NA,US,US-AK,Palmer,AK63,,AK63,"-149.14300537109375, 61.588600158691406"
AK64,small_airport,Taylor Mountain Airport,1000,NA,US,US-AK,Taylor Mountain Mine,PATM,,ATM,"-157.391998, 60.867802"
AK65,small_airport,Green's Strip,300,NA,US,US-AK,Wasilla,AK65,,AK65,"-149.3509979248047, 61.597900390625"
AK66,small_airport,Hunter Creek Airport,100,NA,US,US-AK,Palmer,AK66,,AK66,"-148.8040008544922, 61.46310043334961"
AK67,small_airport,Skid Marks Airport,64,NA,US,US-AK,Willow,AK67,,AK67,"-150.072998046875, 61.73860168457031"
AK68,small_airport,Minuteman Strip,290,NA,US,US-AK,Willow,AK68,,AK68,"-150.0540008544922, 61.720298767089844"
AK69,small_airport,Long Lake Airport,200,NA,US,US-AK,Willow,AK69,,AK69,"-150.09800720214844, 61.72930145263672"
AK71,small_airport,Lonely Air Station,17,NA,US,US-AK,Lonely,PALN,LNI,AK71,"-153.2420044, 70.91069794"
AK72,small_airport,Jewell Airport,113,NA,US,US-AK,Willow,AK72,,AK72,"-150.6009979248047, 61.7047004699707"
AK73,small_airport,McGahan Industrial Airpark,150,NA,US,US-AK,Nikishka,AK73,,AK73,"-151.302001953, 60.7252998352"
AK75,small_airport,Candle 2 Airport,15,NA,US,US-AK,Candle,AK75,CDL,AK75,"-161.925994873, 65.907699585"
AK76,small_airport,East Alsek River Airport,20,NA,US,US-AK,Yakutat,AK76,,AK76,"-138.40699768066406, 59.1260986328125"
AK77,small_airport,All West Airport,1275,NA,US,US-AK,Delta Junction,AK77,,AK77,"-145.4219970703125, 63.94139862060547"
AK79,small_airport,Jolly Field,100,NA,US,US-AK,Wasilla,AK79,,AK79,"-149.5665, 61.59355"
AK80,small_airport,American Creek Airport,520,NA,US,US-AK,American Creek,,,80A,"-151.176, 65.1046"
AK83,small_airport,Gannon's Landing Airport,380,NA,US,US-AK,Wasilla,AK83,,AK83,"-149.60899353027344, 61.62730026245117"
AK84,small_airport,Scooter's Landing Strip,259,NA,US,US-AK,Sterling,AK84,,AK84,"-150.83099365234375, 60.52939987182617"
AK85,small_airport,Birchwater Airport,110,NA,US,US-AK,Wasilla,AK85,,AK85,"-149.763986, 61.482333"
AK86,small_airport,Kramer Airport,150,NA,US,US-AK,Big Lake,AK86,,AK86,"-149.91135, 61.573539"
AK88,small_airport,Eagle Nest Airport,416,NA,US,US-AK,Palmer,AK88,,AK88,"-149.0399932861328, 61.604698181152344"
AK89,small_airport,Black Spruce Airport,350,NA,US,US-AK,Houston,AK89,,AK89,"-149.83700561523438, 61.65700149536133"
AK90,small_airport,Shirley Lake Airport,185,NA,US,US-AK,Willow,AK90,,AK90,"-150.11500549316406, 61.74470138549805"
AK92,small_airport,Martin Airport,820,NA,US,US-AK,Palmer,AK92,,AK92,"-149.029007, 61.63800049"
AK93,small_airport,Grouse Ridge Airport,535,NA,US,US-AK,Palmer,AK93,,AK93,"-149.2729949951172, 61.65520095825195"
AK95,small_airport,Twin Lake Airport,185,NA,US,US-AK,Big Lake,AK95,,AK95,"-149.7790069580078, 61.569801330566406"
AK96,small_airport,Bartletts Airport,50,NA,US,US-AK,Egegik,AK96,BSZ,AK96,"-157.352005005, 58.2162017822"
AK97,small_airport,Boswell Bay Airport,230,NA,US,US-AK,Boswell Bay,AK97,BSW,AK97,"-146.145996094, 60.4230995178"
AK98,small_airport,Buck Creek Airport,560,NA,US,US-AK,Buck Creek,AK98,,AK98,"-167.48599243164062, 65.63870239257812"
AK99,small_airport,Grand Home Airport,85,NA,US,US-AK,Wasilla,AK99,,AK99,"-149.761111, 61.446667"
AKM,small_airport,Zakuoma Airport,1370,AF,TD,TD-SA,ZaKouma,,AKM,,"19.8172222222, 10.8902777778"
AL03,small_airport,Strickland/Smalley Field,369,NA,US,US-AL,Akron,AL03,,AL03,"-87.723889, 35.853889"
AL05,small_airport,Sehoy Airport,331,NA,US,US-AL,Hurtsboro,AL05,,AL05,"-85.46800231933594, 32.22010040283203"
AL08,small_airport,Perdido Winds Airpark,75,NA,US,US-AL,Elberta,AL08,,AL08,"-87.5353012084961, 30.424400329589844"
AL09,small_airport,Cloudmont Airpark,1692,NA,US,US-AL,Mentone,AL09,,AL09,"-85.59020233154297, 34.53340148925781"
AL10,small_airport,Frerichs Airport,650,NA,US,US-AL,Gurley,AL10,,AL10,"-86.41690063476562, 34.65119934082031"
AL12,small_airport,Kershaw Airport,225,NA,US,US-AL,Montgomery,AL12,,AL12,"-86.125, 32.35850143432617"
AL15,small_airport,Styron Airport,120,NA,US,US-AL,Foley,AL15,,AL15,"-87.72419738769531, 30.402999877929688"
AL16,small_airport,Turkey Creek Airport,640,NA,US,US-AL,Pinson,AL16,,AL16,"-86.72360229492188, 33.72679901123047"
AL17,small_airport,Lazy Eight Airpark Llc Airport,450,NA,US,US-AL,Wilsonville,AL17,,AL17,"-86.51300048830001, 33.2340011597"
AL18,small_airport,Parker Field,590,NA,US,US-AL,Gardendale,AL18,,AL18,"-86.86750030517578, 33.67620086669922"
AL25,small_airport,Spratling Field,368,NA,US,US-AL,Roba,AL25,,AL25,"-85.6010971069336, 32.242401123046875"
AL27,small_airport,Headquarters Airport,610,NA,US,US-AL,Centre,AL27,,AL27,"-85.56580352783203, 34.1057014465332"
AL29,small_airport,New Horizon Airport,750,NA,US,US-AL,Blountsville,AL29,,AL29,"-86.63330078125, 34.12929916381836"
AL32,small_airport,Flying BK Ranch Airport,670,NA,US,US-AL,Cedar Bluff,AL32,,AL32,"-85.6437, 34.322601"
AL33,small_airport,Sturdy Oak Farm Airport,230,NA,US,US-AL,Perdido,AL33,,AL33,"-87.58580017089844, 31.02519989013672"
AL34,small_airport,Elam's Landing Airport,685,NA,US,US-AL,Moulton,AL34,,AL34,"-87.386101, 34.446999"
AL35,small_airport,Mc Ginnis Airport,125,NA,US,US-AL,Loxley,AL35,,AL35,"-87.7043991089, 30.619600296"
AL37,small_airport,Benedick Airport,335,NA,US,US-AL,Jack,AL37,,AL37,"-85.977278, 31.555028"
AL40,small_airport,Bonham Airport,600,NA,US,US-AL,Birmingham,AL40,,AL40,"-86.98580169677734, 33.5432014465332"
AL41,small_airport,Freedom Field,285,NA,US,US-AL,Slocomb,AL41,,AL41,"-85.62550354003906, 31.115999221801758"
AL43,small_airport,Henley Ranch Airport,200,NA,US,US-AL,Geiger,AL43,,AL43,"-88.3333969116211, 32.90850067138672"
AL51,small_airport,Flying C's Plantation Airport,395,NA,US,US-AL,Crawford,AL51,,AL51,"-85.29920196533203, 32.416099548339844"
AL54,small_airport,Bird Nest Airport,420,NA,US,US-AL,Winfield,AL54,,AL54,"-87.84529876708984, 33.86330032348633"
AL55,small_airport,Shields Airport,95,NA,US,US-AL,Elberta,AL55,,AL55,"-87.46389770507812, 30.4419002532959"
AL60,small_airport,Dugger's Field,560,NA,US,US-AL,Ashville,AL60,,AL60,"-86.2114028930664, 33.83869934082031"
AL69,small_airport,Vaughn Private Airport,30,NA,US,US-AL,Summerdale,AL69,,AL69,"-87.4916000366211, 30.508499145507812"
AL71,small_airport,Willow Point Airport,551,NA,US,US-AL,Our Town,AL71,,AL71,"-85.98049926757812, 32.8036994934082"
AL73,small_airport,Sharpe Field,253,NA,US,US-AL,Tuskegee,AL73,TGE,AL73,"-85.7755966187, 32.4919013977"
AL74,small_airport,Grimes Field,215,NA,US,US-AL,Semmes,AL74,,AL74,"-88.30580139160156, 30.764400482177734"
AL76,small_airport,Mayfield (Private) Airport,495,NA,US,US-AL,Maplesville,AL76,,AL76,"-86.87000274658203, 32.84870147705078"
AL77,small_airport,Smart Road Airport,425,NA,US,US-AL,Troy,AL77,,AL77,"-86.00700378417969, 31.7406005859375"
AL78,small_airport,Klumpp Airport,111,NA,US,US-AL,Fairhope,AL78,,AL78,"-87.85420227050781, 30.526899337768555"
AL79,small_airport,Bartlett Ranch Airport,305,NA,US,US-AL,Pike Road,AL79,,AL79,"-86.09880065917969, 32.26959991455078"
AL81,small_airport,Wallace Field,125,NA,US,US-AL,Robertsdale,AL81,,AL81,"-87.58329772949219, 30.550199508666992"
AL84,small_airport,Pecan Ponds Farm Airport,125,NA,US,US-AL,Robertsdale,AL84,,AL84,"-87.6041030883789, 30.558500289916992"
AL88,small_airport,Ban Farm Airport,80,NA,US,US-AL,Lillian,AL88,,AL88,"-87.4708023071289, 30.426599502563477"
AL89,small_airport,Sommerset Strip,820,NA,US,US-AL,Opelika,AL89,,AL89,"-85.36689758300781, 32.71870040893555"
AL92,small_airport,Hawk Field,420,NA,US,US-AL,Harpersville,AL92,,AL92,"-86.40360260009766, 33.30730056762695"
AL93,small_airport,Big Sky Airport,830,NA,US,US-AL,Huntsville,AL93,,AL93,"-86.70999908447266, 34.88560104370117"
AL94,small_airport,Evans Field,212,NA,US,US-AL,Wilmer,AL94,,AL94,"-88.377197265625, 30.812700271606445"
AL97,small_airport,Williamson Farm Airport,162,NA,US,US-AL,Loxley,AL97,,AL97,"-87.66940307617188, 30.644699096679688"
AMC,small_airport,Mar de CortÃ©s International Airport,71,NA,MX,MX-SON,Puerto PeÃ±asco,MMPE,PPE,83550,"-113.305177, 31.351987"
AME,small_airport,Alto Molocue Airport,1950,AF,MZ,MZ-Q,Alto Molocue,,AME,,"37.6813888889, -15.6102777778"
AMF,small_airport,Ama Airport,145,OC,PG,PG-ESW,,AYAA,AMF,AMA,"141.67, -4.10111111111"
AMU,small_airport,Amanab Airport,1307,OC,PG,PG-SAN,Amanab,AYAM,AMU,ANA,"141.214333333, -3.586"
AMY,small_airport,Ambatomainty Airport,1025,AF,MG,MG-M,,,AMY,,"45.623888888900005, -17.6866666667"
AN01,small_airport,Av Ranch Airport,3500,NA,US,US-AZ,Klondyke,AN01,,AN01,"-110.31700134277344, 32.81669998168945"
ANYN,medium_airport,Nauru International Airport,22,OC,NR,NR-14,Yaren District,ANYN,INU,,"166.919006, -0.547458"
ANZ,small_airport,Angus Downs Airport,1724,OC,AU,AU-NT,Angus Downs Station,,ANZ,,"132.2748, -25.0325"
AOB,small_airport,Annanberg Airport,130,OC,PG,PG-MPM,,,AOB,ANB,"144.635833333, -4.90416666667"
AOD,small_airport,Abou-DeÃ¯a Airport,1592,AF,TD,TD-SA,Abou-DeÃ¯a,,AOD,,"19.2874, 11.4773"
APP,small_airport,Asapa Airport,1930,OC,PG,PG-NPP,,,APP,APA,"148.103611111, -8.97916666667"
APR,small_airport,April River Airport,220,OC,PG,PG-ESW,April River,AYPE,APR,APR,"142.540138889, -4.67666666667"
AQY,small_airport,Girdwood Airport,150,NA,US,US-AK,Girdwood,,AQY,AQY,"-149.126007, 60.966099"
AR01,small_airport,Baker Flying Service Airport,116,NA,US,US-AR,Eudora,AR01,,AR01,"-91.2500991821289, 33.10850143432617"
AR05,small_airport,John Harris Field,1770,NA,US,US-AR,Chickala,AR05,,AR05,"-93.30490112304688, 35.21590042114258"
AR06,small_airport,Cantrell Farms Airport,325,NA,US,US-AR,Conway,AR06,,AR06,"-92.34329986572266, 35.23249816894531"
AR09,small_airport,Gravette Field,1200,NA,US,US-AR,Gravette,AR09,,AR09,"-94.438904, 36.413898"
AR10,small_airport,Greenwalt Company Airport,232,NA,US,US-AR,Hazen,AR10,,AR10,"-91.6082992553711, 34.80670166015625"
